date,_pm25,year,month,day,PM25,Date
2/18/2016,100,2016,2,18,27.40833333,2/18/2016
2/19/2016,105,2016,2,19,25.09833333,2/19/2016
2/20/2016,112,2016,2,20,25.23166667,2/20/2016
2/21/2016,98,2016,2,21,27.89666667,2/21/2016
2/22/2016,109,2016,2,22,25.33166667,2/22/2016
2/23/2016,99,2016,2,23,27.045,2/23/2016
2/24/2016,94,2016,2,24,34.35666667,2/24/2016
2/25/2016,108,2016,2,25,37.59,2/25/2016
2/26/2016,103,2016,2,26,34.34666667,2/26/2016
2/27/2016,80,2016,2,27,33.86,2/27/2016
2/28/2016,71,2016,2,28,33.805,2/28/2016
2/29/2016,99,2016,2,29,33.12166667,2/29/2016
3/1/2016,106,2016,3,1,32.33666667,3/1/2016
3/2/2016,111,2016,3,2,32.65666667,3/2/2016
3/3/2016,125,2016,3,3,32.18333333,3/3/2016
3/4/2016,115,2016,3,4,33.475,3/4/2016
3/5/2016,89,2016,3,5,31.33833333,3/5/2016
3/6/2016,84,2016,3,6,33.81166667,3/6/2016
3/7/2016,69,2016,3,7,39.26333333,3/7/2016
3/8/2016,66,2016,3,8,41.42333333,3/8/2016
3/9/2016,72,2016,3,9,35.86,3/9/2016
3/10/2016,69,2016,3,10,33.91666667,3/10/2016
3/11/2016,72,2016,3,11,29.37666667,3/11/2016
3/12/2016,74,2016,3,12,27.32666667,3/12/2016
3/13/2016,73,2016,3,13,28.29,3/13/2016
3/14/2016,78,2016,3,14,29.65833333,3/14/2016
3/15/2016,91,2016,3,15,31.27105263,3/15/2016
3/16/2016,85,2016,3,16,31.36666667,3/16/2016
3/17/2016,78,2016,3,17,29.06833333,3/17/2016
3/18/2016,75,2016,3,18,22.53,3/18/2016
3/19/2016,71,2016,3,19,21.29166667,3/19/2016
3/20/2016,78,2016,3,20,20.545,3/20/2016
3/21/2016,82,2016,3,21,18.82,3/21/2016
3/22/2016,76,2016,3,22,18.70333333,3/22/2016
3/23/2016,73,2016,3,23,19.54,3/23/2016
3/24/2016,85,2016,3,24,23.00333333,3/24/2016
3/25/2016,80,2016,3,25,23.16833333,3/25/2016
3/26/2016,85,2016,3,26,23.93833333,3/26/2016
3/27/2016,114,2016,3,27,23.26,3/27/2016
3/28/2016,106,2016,3,28,21.93050847,3/28/2016
3/29/2016,117,2016,3,29,22.185,3/29/2016
3/30/2016,136,2016,3,30,25.315,3/30/2016
3/31/2016,92,2016,3,31,26.66,3/31/2016
4/1/2016,75,2016,4,1,30.99666667,4/1/2016
10/2/2017,65,2017,10,2,43.93770492,10/2/2017
10/3/2017,51,2017,10,3,39.23559322,10/3/2017
10/4/2017,51,2017,10,4,37.09666667,10/4/2017
10/5/2017,58,2017,10,5,34.57857143,10/5/2017
10/6/2017,89,2017,10,6,28.62352941,10/6/2017
